dog_id,asc_peak_slopes_A,asc_peak_slopes_C,avg_pres_A,avg_pres_C,contact_durations_A,contact_durations_C,des_peak_slopes_A,des_peak_slopes_C,impulses_A,impulses_C,pace,paw_area_A,paw_area_C,ratio_pres2area_A,ratio_pres2area_C,std_asc_peak_slopes_A,std_asc_peak_slopes_C,std_avg_pres_A,std_avg_pres_C,std_contact_durations_A,std_contact_durations_C,std_des_peak_slopes_A,std_des_peak_slopes_C,std_impulses_A,std_impulses_C,std_paw_area_A,std_paw_area_C,std_ratio_pres2area_A,std_ratio_pres2area_C,std_step_lengths_A,std_step_lengths_C,std_vert_forces_A,std_vert_forces_C,step_lengths_A,step_lengths_C,steps_A,steps_C,vert_forces_A,vert_forces_C,Alter,Gewicht,sex,neutered,Rückenlänge,Schulterhöhe,BCS,target
T0000011,1.167,0.783,4.424,3.731,0.19,0.185,1.563,0.881,32.246,19.466,7.23,29.944,25.308,0.149,0.147,0.295,0.349,0.531,0.14,0.026,0.016,0.308,0.253,4.097,3.832,2.148,2.648,0.014,0.013,0.217,0.246,25.496,15.011,0.642,0.722,7.0,5.0,162.872,100.167,2,21.0,1,0,65.0,61.0,4.0,0
T0000012,0.714,0.841,4.758,3.789,0.215,0.18,0.981,0.894,24.659,12.414,5.34,20.65,15.8,0.236,0.228,0.244,0.108,0.293,0.199,0.042,0.017,0.102,0.191,2.179,1.17,1.874,1.309,0.024,0.025,0.013,0.03,14.621,6.409,0.452,0.456,9.0,9.0,109.745,65.354,9,15.0,1,0,55.0,49.0,5.0,0
T0000012,0.839,0.725,4.94,3.728,0.212,0.195,1.118,0.74,23.874,12.614,5.14,19.358,16.546,0.244,0.221,0.383,0.141,0.704,0.187,0.056,0.033,0.322,0.182,4.995,3.828,2.54,1.764,0.044,0.028,0.07,0.04,23.496,7.75,0.434,0.407,10.0,10.0,109.314,64.658,9,15.0,1,0,55.0,49.0,5.0,0
T0000012,0.71,0.791,4.263,3.851,0.215,0.218,1.388,0.56,18.666,13.956,5.41,18.272,15.505,0.228,0.236,0.105,0.1,0.34,0.267,0.018,0.039,0.219,0.19,2.977,2.524,1.423,1.432,0.025,0.03,0.025,0.013,9.916,8.325,0.416,0.444,10.0,10.0,83.78,63.828,9,15.0,1,0,55.0,49.0,5.0,0
T0000012,0.968,0.8,4.659,3.741,0.205,0.195,1.226,0.784,23.004,14.658,4.98,21.54,16.633,0.213,0.214,0.212,0.749,0.645,0.323,0.026,0.04,0.358,0.264,3.773,3.71,2.159,2.812,0.044,0.089,0.054,0.078,11.856,10.528,0.449,0.455,10.0,9.0,105.202,68.144,9,15.0,1,0,55.0,49.0,5.0,0
T0000012,0.897,0.781,4.788,3.746,0.22,0.202,0.98,0.732,22.434,13.375,4.52,19.562,15.776,0.242,0.233,0.141,0.124,0.203,0.266,0.086,0.012,0.36,0.13,5.966,0.823,2.044,0.799,0.036,0.026,0.02,0.031,10.176,2.974,0.399,0.416,10.0,8.0,101.524,64.936,9,15.0,1,0,55.0,49.0,5.0,0
T0000012,0.838,0.808,4.683,3.765,0.225,0.188,0.945,0.882,23.928,12.447,5.07,20.131,16.43,0.224,0.228,0.191,0.093,0.36,0.141,0.04,0.02,0.301,0.119,2.441,1.792,1.815,1.033,0.025,0.019,0.038,0.029,13.826,3.67,0.397,0.424,11.0,10.0,104.275,64.0,9,15.0,1,0,55.0,49.0,5.0,0
T0000013,0.881,1.0,4.3,3.412,0.18,0.16,0.894,0.97,16.797,9.526,5.45,19.096,14.593,0.232,0.231,0.102,0.108,0.378,0.224,0.023,0.035,0.267,0.248,2.194,0.968,2.709,0.868,0.076,0.015,0.025,0.019,9.774,5.052,0.418,0.415,10.0,10.0,90.174,54.915,4,12.0,1,0,48.0,46.0,5.0,0
T0000013,0.74,0.952,4.221,3.45,0.19,0.172,1.059,0.834,17.327,9.559,5.11,18.957,14.1,0.224,0.248,0.149,0.146,0.267,0.247,0.011,0.033,0.165,0.183,1.499,1.629,1.317,1.284,0.023,0.021,0.052,0.022,7.452,7.487,0.407,0.407,11.0,10.0,88.771,52.799,4,12.0,1,0,48.0,46.0,5.0,0
T0000013,0.836,0.865,4.287,3.458,0.195,0.175,1.076,0.865,17.373,9.721,4.95,19.038,14.009,0.231,0.24,0.13,0.076,0.23,0.279,0.008,0.051,0.187,0.212,0.76,1.333,1.333,0.829,0.028,0.023,0.024,0.02,3.169,5.407,0.407,0.416,10.0,10.0,85.476,54.001,4,12.0,1,0,48.0,46.0,5.0,0
